year	division	category	winner	award
2003	Agriculture		Kenneth White, Utah State University professor	statue
2003	Arts & Entertainment		Utah Shakespearean Festival	statue
2003	Community Development		Patrick Byrne, Overstock.com	statue
2003	Dining Establishments		Log Haven Restaurant Group, LC	statue
2003	Education		Richard Clark, Mountain View High School principal	statue
2003	Hospitality		the Blue Boar Inn	statue
2003	Manufacturing		EK Ekcessories	statue
2003	Merchandising		Ken Garff Automotive Group	statue
2003	Science and Technology		Mario Capecchi, University of Utah	statue
2003	Services		University of Utah Hospitals & Clinics	statue
2003	Sports and Recreation		Larry Gelwix, Highland High School rugby coach	statue
2005		American	The Foundry Grill	medal
2005		American Traditional	Log Haven Restaurant	medal
2005		American Traditional	Metropolitan	medal
2005		Apparel	'Ohana Swimwear	medal
2005		Appointed Official	Soren D. Simonsen	medal
2005		Asian/Pacific	Mikado	medal
2005		Asian/Pacific	Rumbi Island Grill	medal
2005		Baked Goods	Cakes de Fleur	medal
2005		Buffet Brunch	The Blue Boar Inn & Restaurant	medal
2005		Candy/Confectionary	Mrs. Cavanaugh's Candies, Inc.	medal
2005		Charitable/Service Organization	Intermountain Donor Services	medal
2005		Charitable/Service Organization	Profiles In Caring	medal
2005		Charitable/Service Organization	United Way of Salt Lake	medal
2005		Chef	Chris Sheehan, The Blue Boar Inn & Restaurant	medal
2005		Children's Performing Group	Imagine Ballet Theatre	medal
2005		City Planning	Soren D. Simonsen	medal
2005		Dairy Products	The Canyon View Farm	medal
2005		Dairy/Egg Production	The Canyon View Farm	medal
2005		Dance Group	Repertory Dance Theatre	medal
2005		Drawing/Illustration	Greg Newbold	medal
2005		Elected Official	Randy A. Brailsford	medal
2005		Employer	Zions Bank	medal
2005		Entrepreneur	Culinary Crafts	medal
2005		European	The Blue Boar Inn & Restaurant	medal
2005		Family Pizza	Gold Medal Pizza	medal
2005		Feature Film	Saints and Soldiers - Adam Abel and Ryan Little	medal
2005		Fiction	NANCY CAMPBELL ALLEN	medal
2005		Food Manufacturing/Processing	Tahitian Noni International	medal
2005		Franchise Burgers	Robert Sherwood	medal
2005		Frozen Desserts	Home of the Train/Dairy Keen	medal
2005		Furniture/Fixtures	Mr. Guy Greer/ Anderson Mill Inc.	medal
2005		Greenhouse/Nursery	Brad Pack	medal
2005		Handicrafts	Body & Spirit	medal
2005		Individual Dancer	Josie Lee Marine	medal
2005		Individual Humanitarian	Intermountain Donor Services	medal
2005		Individual Instrumentalist	Kelle Cetraro	medal
2005		Individual Vocalist	Cheri Magill	medal
2005		Individual Vocalist	Lauri Carrigan	medal
2005		Individual Volunteer	Alan Blain Cunningham	medal
2005		International Business	Nu Skin Enterprises	medal
2005		Jewelry	My Princess Pearls	medal
2005		Large Business	Nu Skin Enterprises	medal
2005		Library	Salt Lake County Library Services	medal
2005		Livestock	Richard V. Nielson	medal
2005		Local Burgers	Home of the Train/Dairy Keen	medal
2005		Military Personnel/Unit	Family Readiness Group 1st/211th AVN RGT	medal
2005		Mining/Quarrying	Staker & Parson Companies	medal
2005		Non-fiction	"""Speaking on Business"" hosted by Fred Ball"	medal
2005		Original Music Composition	Mark Geslison & Geoff Groberg	medal
2005		Painting	Classical - Steven Lee Adams	medal
2005		Parks & Recreation Department	St. George City - Leisure Services Department	medal
2005		Poetry	Leslie Norris	medal
2005		Portrait Photography	Bob Boyd	medal
2005		Portrait Photography	Mackley Designer Portraiture	medal
2005		Printing/Publishing	Lumin Publishing, Inc.	medal
2005		Rubber/Plastic Products	Stampin' Up!	medal
2005		Screenwriting	Jeffrey Gold	medal
2005		Sculpture	Tod L. Wadsworth	medal
2005		Small Business (under $5M/year)	Rocky Point Haunted House	medal
2005		Specialty Act	Messiah: Handel's Gift to Children	medal
2005		Theater Group/Director	Hale Centre Theatre	medal
2005		Transportation Equipment	International Armoring Corporation	medal
2005		Vocal Group	Michael Ballam	medal
2005		Wholesale Goods	Bullfrog Spas	medal
2006		Actor	Sally Lee Hale Rice	medal
2006		Administrator	Evan K. Excell	medal
2006		Adventure Travel	Western River Expeditions & Moab Adventure Center	medal
2006		Advertising Agencies	Richter7	medal
2006		American	The Original Pancake House - Tim & Wendy DeRusha	medal
2006		American Traditional	Log Haven	medal
2006		Analytical Laboratory	ARUP Laboratories	medal
2006		Animal Care	Alan Blain Cunningham	medal
2006		Apparel	Shade Clothing	medal
2006		Appointed Official	David N. Sundwall, M. D.	medal
2006		Appointed Official	Francine A. Giani	medal
2006		Architects	MHTN Architects, Inc.	medal
2006		Arts in Education	Hale Centre Theatre	medal
2006		Asian/Pacific	Bangkok Thai on Main	medal
2006		Asian/Pacific	Rumbi Island Grill	medal
2006		Assisted Living Facilities	Courtyard at Jamestown Assisted Living	medal
2006		Associations/Chambers	Utah Information Technology Association	medal
2006		Auto Dealers, new	Robert H. Garff	medal
2006		Auto Dealers, used	Salt Lake Imports, Inc	medal
2006		Automotive Services	Craig L. Boorman, Jr.	medal
2006		Baked Goods	Cakes de Fleur	medal
2006		Banking	Zions Bank	medal
2006		Bed & Breakfast	The Blue Boar Inn and Restaurant	medal
2006		Bridal/Wedding Services	The Blue Boar Inn and Restaurant	medal
2006		Buffet Brunch	Blue Boar Inn and Restaurant	medal
2006		Caterers	Culinary Crafts	medal
2006		Ceramics/Glass	Salt Lake Art Center	medal
2006		Charitable/Service Organization	Globus Relief	medal
2006		Chef	Frank Mendoza	medal
2006		Children's Performing Group	The Madeleine Choir School	medal
2006		Choreographer	Raymond Van Mason	medal
2006		City Planning	Kevin Smith	medal
2006		College/University Student	Hou-en Joseph Hui	medal
2006		College/University Teacher	Jim Christian	medal
2006		Computer Related Services	Michael D. Proper	medal
2006		Computer Related Services	silex technology america, Inc.	medal
2006		Computer and Software Providers (VARS)	Omniture	medal
2006		Construction	Commercial - Ralph L. Wadsworth Construction Company, Inc.	medal
2006		Construction	Commercial - Wadsworth Brothers Construction	medal
2006		Construction	Residential - The Hamlet Companies	medal
2006		Consumer Electronics	Spring Communications	medal
2006		Convention and Meeting Facilities	Homestead Golf Resort and Conference Center	medal
2006		Convention and Meeting Services	SceneMakers	medal
2006		Credit Unions	America First Credit Union	medal
2006		Customer Servicing/Call Centers	Stampin' Up!	medal
2006		Dance Group	Odyssey Dance Theatre	medal
2006		Data Services	PGM Incorporated	medal
2006		Day Spas	Remedez HairSpa - AVEDA	medal
2006		Destination Spas	Green Valley Spa & Resort	medal
2006		Dietary Supplements	USANA Health Sciences	medal
2006		Documentary	Tahitian Noni International	medal
2006		Drawing/Illustration	Greg Newbold	medal
2006		Early Childhood Educator	Kathleen Jensen	medal
2006		Education/Advocacy Organization	Sutherland Institute	medal
2006		Educational Institution or Service	Special Olympics Utah	medal
2006		Elected Official	Michael H. Jensen	medal
2006		Electrical Engineering	Spectrum Engineers	medal
2006		Employer	Zions Bank	medal
2006		Employment/Talent Agencies	Payroll Experts, Inc.	medal
2006		Entrepreneur	Mrs. Cavanaughs Candies	medal
2006		Environmental Science	Renee Van Buren	medal
2006		European	Blue Boar Inn and Restaurant	medal
2006		Fairs, Festivals and Events	The Rocky Point Haunted House	medal
2006		Family Pizza	The Pie Pizzeria, Inc.	medal
2006		Feature Film	Eli J. Sasich	medal
2006		Female High School Athlete	Michelle Harrison	medal
2006		Fiction	Dave Shields	medal
2006		Financial Services	Fidelity Investments - Salt Lake City	medal
2006		Fishing/River Outfitters	Western River Expeditions & Moab Adventure Center	medal
2006		Floral Design	Lara Harrison	medal
2006		Food Services & Distributors	Nicholas & Company	medal
2006		Franchise Burgers	Carl's Jr.	medal
2006		Franchise Sandwiches	Subway of Utah	medal
2006		Franchisee	Robert Sherwood	medal
2006		Frozen Desserts	Home of the Train/Dairy Keen	medal
2006		Furniture	Vilda Johnson	medal
2006		Gifts/Household Goods	Wasatch Baskets & Gifts	medal
2006		Golf Courses	Homestead Golf Resort and Conference Center	medal
2006		Graphic Design	Struck	medal
2006		Gymnastics Studio	Bailie's Gymnastics	medal
2006		Hair/Beauty Salons	Remedez HairSpa - AVEDA	medal
2006		Handicrafts	Body & Spirit	medal
2006		Hardware/Firmware Development	Inovar, Inc.	medal
2006		Health Care Facilities	Intermountain Healthcare LDS Hospital	medal
2006		Health Care Services	Total Care Dental	medal
2006		Health/Nutrition Products	Pharmanex	medal
2006		High School Coach	Roger O. Dupaix	medal
2006		Independent Senior Living	The Wellington Senior Residence	medal
2006		Individual Humanitarian	Paul Holton	medal
2006		Individual Instrumentalist	Meredith Campbell	medal
2006		Individual Vocalist	Shane Jackman	medal
2006		Individual Volunteer	Lisa Thompson	medal
2006		Inns	Blue Boar Inn and Restaurant	medal
2006		Instructional/Corporate Video	Two Little Hands Productions	medal
2006		Insurance	Workers Compensation Fund	medal
2006		Interactive/Multimedia	Dr. Joseph Andrade, Ph.D.	medal
2006		Interior Design	Terry Ann Olsen & Julie Blackley	medal
2006		International Business	International Armoring Corporation	medal
2006		Jewelry	RICHARD TIMOTHY BRANSCOMV	medal
2006		Journalism	G. Donald Gale	medal
2006		Laboratory Equipment and Supplies	Raumland Systems Inc.	medal
2006		Landscape Services & Supplies	Steve Hansen	medal
2006		Large Business	Stampin' Up!	medal
2006		Legal Services	Ray Quinney & Nebeker P.C.	medal
2006		Local Burgers	Dairy Keen/Home of the Train	medal
2006		Male Amateur Athlete	Eric Randall Johnson	medal
2006		Male High School Athlete	Adam McDonald	medal
2006		Mechanical Engineering	Spectrum Engineers	medal
2006		Medical Innovation	Fit-Well Prosthetic & Orthotic Center	medal
2006		Mexican/Latin American	Las Tarascas Mexican Food	medal
2006		Mexican/Latin American	Pampas Argentine Steak House	medal
2006		Military Personnel/Unit	CW5 Paul Holton	medal
2006		Miscellaneous Merchandising/Services	HEART to HEART - CANcer HOPE Boutique	medal
2006		Miscellaneous Services	O.C. Tanner	medal
2006		Mortgage Banking	Envision Lending Group, Inc	medal
2006		Museums and Attractions	Alf Engen Ski Museum	medal
2006		Non-fiction	Paul Holton	medal
2006		Nursing	CareSource	medal
2006		Office/School Supplies & Equipment	System Technology Inc.	medal
2006		Optical Care	Joseph G. Carbone- Eye Care For Kids	medal
2006		Original Music Composition	Jeffrey Gold	medal
2006		Painting	Classical - Williams Fine Art	medal
2006		Painting	Williams Fine Art	medal
2006		Personal Care Products/Cosmetics	Nu Skin	medal
2006		Photography	Bruce and Tammy Jolley	medal
2006		Playwriting	Jeffrey Gold	medal
2006		Pools & Spas	Bullfrog International	medal
2006		Portrait Photography	Bruce and Tammy Jolley	medal
2006		Private Preschool	Corner Canyon Academy	medal
2006		Pro Athlete	Eddie Pope	medal
2006		Public Fitness/Recreation Facility	Clearfield Aquatic Center/Bernard K. Fisher Park	medal
2006		Public Relations	The Summit Group	medal
2006		Public Safety Officer	Richard A. Stone	medal
2006		Public School K-12	Park City High School	medal
2006		Public Works	Dean Brand - Central Davis Sewer District	medal
2006		Real Estate/Appraisal	CENTURY 21 Coventry	medal
2006		Recreational Attraction	The Rocky Point Haunted House	medal
2006		Recreational Coach	Mark J. Aberton	medal
2006		Remodeling/Home Improvement	Upscale Downstairs, Inc.	medal
2006		Research and Development	Black Diamond Equipment Ltd.	medal
2006		Screenwriting	Martin Andersen	medal
2006		Sculpture	Jonathan Bronson	medal
2006		Small Business (under $5M/year)	Curb It Recycling	medal
2006		Software Development/Publishers	ContentWatch Inc.	medal
2006		Specialty Foods	Zupas	medal
2006		Structural Engineering	Reaveley Engineers+Associates	medal
2006		Support Personnel	Julie Sandoval	medal
2006		Teacher K-12	Clark Earl Thayne	medal
2006		Telecommunications	CentraCom Interactive	medal
2006		Theater Group/Director	Hale Centre Theatre	medal
2006		Transportation Services	Parkn'Jet	medal
2006		Travel Agencies	Morris Murdock, LLC	medal
2006		Vacation Resorts	Sundance Resort	medal
2006		Vocal Group	Octappella Entertainment, LLC	medal
2006		Web Design	Struck	medal
2007		Administrator	Bryan Eldredge	medal
2007		Adventure Travel	Western River Expeditions/Moab Adventure Center	medal
2007		Advertising Agencies	Richter7	medal
2007		Alternative Health Care	CareSource	medal
2007		Amateur Athlete	Eric Randall Johnson	medal
2007		American	Log Haven Restaurant	medal
2007		American	Zoom	medal
2007		American Traditional	Log Haven Restaurant	medal
2007		Analytical Laboratory	Wasatch Microfluidics	medal
2007		Analytical Laboratory	Wasatch Microfluidics, LLC	medal
2007		Animal Care	DogMode	medal
2007		Animal Care	DogMode, LLC	medal
2007		Animal Training	DogWatch of Utah	medal
2007		Apparel	Shade Clothing	medal
2007		Appointed Official	Marlene Plumlee	medal
2007		Architects	MHTN Architects, Inc.	medal
2007		Arts in Education	Hale Centre Theatre	medal
2007		Asian/Pacific	Monsoon Thai Bistro	medal
2007		Asian/Pacific	Rumbi Island Grill	medal
2007		Assisted Living Facilities	Silverado Aspen Park	medal
2007		Auto Dealers, new	Ken Garff Automotive Group	medal
2007		Auto Dealers, used	Salt Lake Imports, Inc	medal
2007		Auto Dealers-New	Ken Garff Automotive Group	medal
2007		Auto Dealers-Used	Salt Lake Imports, Inc	medal
2007		Automotive Services	Certified Auto Care	medal
2007		Automotive Services	Certified Auto Care, Inc.	medal
2007		Automotive Services	Craig L. Boorman, Jr.	medal
2007		Baked Goods	Backerei & Eis at Zermatt Resort & Spa	medal
2007		Baked Goods	B�ckerei & Eis at Zermatt Resort & Spa	medal
2007		Baked Goods	Zermatt Resort Backerei	medal
2007		Banking	Zions Bank	medal
2007		Bed & Breakfast	The Blue Boar Inn & Restaurant	medal
2007		Bridal/Wedding Services	The Blue Boar Inn & Restaurant	medal
2007		Brunch	Blue Boar Inn	medal
2007		Buffet Brunch	The Blue Boar Inn & Restaurant	medal
2007		Caterers	Culinary Crafts	medal
2007		Charitable/Service Organization	Globus Relief	medal
2007		Charity/Service Organization	Globus Relief	medal
2007		Chef	Chris Sheehan, Blue Boar Inn	medal
2007		Chef	The Blue Boar Inn & Restaurant	medal
2007		Children's Performing Group	The Music School's Crescent Super Band	medal
2007		Choreographer	Jennie Creer-King	medal
2007		City Planning	Provo City Housing Authority	medal
2007		College/University Student	Denise Eileen Brooks	medal
2007		College/University Teacher	George L. White, Jr.	medal
2007		Commercial Construction	Wadsworth Brothers	medal
2007		Computer Related Services	Zions Internet Banking	medal
2007		Computer and Software Providers	Omniture	medal
2007		Computer and Software Providers (VARS)	Omniture	medal
2007		Construction	Commercial - Wadsworth Brothers Construction Co., Inc.	medal
2007		Construction	Residential - The Hamlet Companies	medal
2007		Consumer Electronics	Spring Communications	medal
2007		Convention and Meeting Facilities	Zermatt Resort & Spa	medal
2007		Convention and Meeting Services	Scenemakers	medal
2007		Credit Unions	America First Credit Union	medal
2007		Customer Servicing/Call Centers	1-800 CONTACTS	medal
2007		Dance Group	Odyssey Dance Theatre	medal
2007		Data Services	PGM, Incorporated	medal
2007		Day Spas	Homestead Resort Spa	medal
2007		Destination Spas	Green Valley Spa & Resort	medal
2007		Dietary Supplements	USANA Health Sciences	medal
2007		Documentary	David Perry Films	medal
2007		Drawing/Illustration	Greg Newbold	medal
2007		Education/Advocacy Organization	Sutherland Institute	medal
2007		Educational Institution or Service	Western Governors University	medal
2007		Educational/Training Institution/Service	Western Governors University	medal
2007		Elected Official	Peter M. Corroon	medal
2007		Electrical Engineering	Spectrum Engineers	medal
2007		Employer	Mountain America Credit Union	medal
2007		Employment/Talent Agencies	Innovative Staffing	medal
2007		Entrepreneur	Chelsea Rippy, Shade Clothing	medal
2007		European	Blue Boar Inn	medal
2007		European	The Blue Boar Inn & Restaurant	medal
2007		Fairs, Festivals and Events	Heber City's Cowboy Poetry Gathering	medal
2007		Fairs, Festivals and Events	Heber City's Cowboy Poetry Gathering & Buckaroo Fa	medal
2007		Family Pizza	Gold Medal Pizza	medal
2007		Fiction	Annette L. Lyon	medal
2007		Financial Services	Interbank FX	medal
2007		Fishing/River Outfitters	Western River Expeditions/Moab Adventure Center	medal
2007		Floral Design	Lara Harrison/Scenemakers	medal
2007		Food Manufacturing/Processing	Stephen's Gourmet Hot Cocoa	medal
2007		Food Services & Distributors	Muir Copper Canyon Farms	medal
2007		Franchise Burgers	Carl's Jr.	medal
2007		Franchise Sandwiches	SUBWAY of Utah	medal
2007		Franchise Sandwiches	Subway of Utah	medal
2007		Franchisee	Robert Sherwood, Subway of Utah	medal
2007		Franchisee	SUBWAY of Utah/Robert Sherwood	medal
2007		Frozen Desserts	Home of the Train Dairy Keen	medal
2007		Frozen Desserts	Home of the Train/Dairy Keen	medal
2007		Furniture	Granite Mill	medal
2007		Furniture/Fixtures	Elkay West Manufacturing	medal
2007		Gifts/Household Goods	Salt City Candle Company	medal
2007		Graphic Design	Katapult Design (formerly Suenos Creative)	medal
2007		Graphic Design	Suenos Design	medal
2007		Graphic Design	Sue�os Creative	medal
2007		Gymnastics Studio	Bailie's Gymnastics	medal
2007		Hair/Beauty Salons	Remedez HairSpa - AVEDA	medal
2007		Handicrafts	Handi Quilter	medal
2007		Handicrafts	Mark Hyland	medal
2007		Hardware/Firmware Development	Inovar	medal
2007		Hardware/Firmware Development	Inovar, Inc.	medal
2007		Health Care Facilities	University Health Care	medal
2007		Health Care Services	CHRISTUS St. Joseph Villa	medal
2007		Health/Nutrition Products	Total Health and Fitness	medal
2007		Hotels	Zermatt Resort & Spa	medal
2007		Humanitarian	Elaine Ward	medal
2007		Independent Senior Living	The Wellington Senior Residence	medal
2007		Individual Humanitarian	Elaine Ward	medal
2007		Individual Instrumentalist	Meredith Campbell	medal
2007		Individual Instrumentalist	Meredith R. Campbell	medal
2007		Individual Volunteer	Art Brown	medal
2007		Individual Volunteer	Art Brown - President of MADD-Utah	medal
2007		Inns	The Blue Boar Inn & Restaurant	medal
2007		Instructional/Corporate Video	Two Little Hands Production	medal
2007		Instructional/Corporate Video	Two Little Hands Productions	medal
2007		Instrumental Group	The Music School's Crescent Super Band	medal
2007		Insurance	Educators Mutual Insurance Association of Utah	medal
2007		Interior Design	Steve Peterson Interiors Unlimited	medal
2007		International Business	International Armoring Corporation	medal
2007		Inventor	Charles Lance Christensen	medal
2007		Jewelry	O.C. Tanner Company	medal
2007		Laboratory Equipment and Supplies	Raumland Systems Inc.	medal
2007		Laboratory Equipment/Supplies	Raumland Systems	medal
2007		Large Business	Kennecott Land	medal
2007		Legal Services	Holland & Hart LLP	medal
2007		Lighting Design	Spectrum Engineers	medal
2007		Livestock	Circle Four Farms	medal
2007		Local Burgers	Home of the Train Dairy Keen	medal
2007		Local Burgers	Home of the Train/Dairy Keen	medal
2007		Local Sandwiches	Zupa's	medal
2007		Local Sandwiches	Zupas	medal
2007		Male Amateur Athlete	Eric Randall Johnson	medal
2007		Male High School Athlete	JAKE COOK	medal
2007		Male High School Athlete	Jake Cook	medal
2007		Mayor	Peter M. Corroon	medal
2007		Mechanical Engineering	Spectrum Engineers	medal
2007		Medical Innovation	American Biotech Labs	medal
2007		Mexican	Las Tarascas	medal
2007		Mexican/Latin American	Las Tarascas	medal
2007		Military Personnel/Unit	CW5 Paul Holton	medal
2007		Military Personnel/Unit	CW5Paul Holton	medal
2007		Mining/Quarrying	Staker & Parson Companies	medal
2007		Mining/Quarrying	Staker and Parson Companies	medal
2007		Misc. Manufacturing Industries	Karen Foster Design	medal
2007		Miscellaneous Manufacturing Industries	Karen Foster Design	medal
2007		Miscellaneous Merchandising/Services	Herman Street	medal
2007		Miscellaneous Services	Utah Disaster Kleenup	medal
2007		Mortgage Banking	Axiom Financial	medal
2007		Non-fiction	Paul Holton Saving Babylon	medal
2007		Non-fiction	Paul Holton, Saving Babylon	medal
2007		Nursing	CareSource	medal
2007		Office/School Supplies & Equipment	Directpointe	medal
2007		Office/School Supplies & Equipment	System Technology Inc.	medal
2007		Original Music Composition	Mark Geslison	medal
2007		Personal Care Products/Cosmetics	USANA Health Sciences	medal
2007		Pharmacies	DEPOT DRUG	medal
2007		Pharmacies	Depot Drug	medal
2007		Photography	Pepper Nix Photography	medal
2007		Pizza	Gold Medal Pizza	medal
2007		Playwriting	Jeffrey Gold	medal
2007		Portrait Photography	Pepper Nix Photography	medal
2007		Preschool	Corner Canyon Academy	medal
2007		Principal	Kevin R. Prusse	medal
2007		Printing/Publishing	Lumin Publishing	medal
2007		Printing/Publishing	Lumin Publishing, Inc.	medal
2007		Private Preschool	Corner Canyon Academy	medal
2007		Pro Athlete	Alan K. Engen	medal
2007		Public Relations	The Summit Group Communications	medal
2007		Public School K-12	Park City High School	medal
2007		Public/Private School K-12	Park City High School	medal
2007		Publication	Zions Bank Community Magazine	medal
2007		Publication	Zions Bank: Community Magazine	medal
2007		Real Estate/Appraisal	Ledingham Properties	medal
2007		Recreational Attraction	Momentum Climbing	medal
2007		Remodeling/Home Improvement	Upscale Downstairs, Inc.	medal
2007		Research and Development	Nu Skin Enterprises Research and Development	medal
2007		Research and Development	Nu Skin Enterprises' Research and Development Team	medal
2007		Residential Construction	The Hamlet Companies	medal
2007		Restoration Services	Utah Disaster Kleenup	medal
2007		Rubber/Plastic Products	Close To My Heart	medal
2007		Rubber/Plastic Products	Close to My Heart	medal
2007		Sculpture	Tod L. Wadsworth	medal
2007		Small Business	Curb It Recycling	medal
2007		Small Business (under $5M/year)	Curb It Recycling	medal
2007		Software Development/Publishers	Altiris	medal
2007		Specialty Foods	Panache Wine Bar	medal
2007		Structural Engineering	Reaveley Engineers + Associates	medal
2007		Structural Engineering	Reavely Engineers & Associates	medal
2007		Support Personnel	Mary Lou Gines	medal
2007		Support Personnel	Mary lou Gines	medal
2007		Teacher K-12	Andrew McIntyre	medal
2007		Telecommunications	Spring Communications	medal
2007		Theater Group/Director	Hale Centre Theatre	medal
2007		Transportation Equipment	International Armoring Corporation	medal
2007		Transportation Services	A-1 Pioneer Moving & Storage	medal
2007		Travel Agencies	Columbus Travel	medal
2007		Vacation Resorts	Zermatt Resort & Spa	medal
2007		Volunteer	Ilene Gorzite	medal
2007		Volunteer	"Ilene Gorzite, better known as ""Mrs. G."""	medal
2007		Web Design	Struck	medal
2007		Web-based Community Resource	Utah.Gov	medal
2007		Wholesale Goods	Orbit Irrigation Products	medal
2007		Wholesale Goods	Orbit Irrigation Products, Inc.	medal
2007	Arts & Entertainment		ODYSSEY DANCE THEATER	statue
2007	Business Services		RICHTER7	statue
2007	Community Development		GLOBUS RELIEF	statue
2007	Dining		LOG HAVEN RESTAURANT	statue
2007	Education		KEVIN R. PRUSSE (principal)	statue
2007	Hospitality, Travel & Tourism		CULINARY CRAFTS	statue
2007	Merchandising & Consumer Services		O.C. TANNER	statue
2007	Production & Manufacturing		KAREN FOSTER DESIGN	statue
2007	Science & Technology		OMNITURE	statue
2007	Sports & Recreation		ALAN K. ENGEN	statue
2008		Actor	Eric Randall Johnson	medal
2008		Adventure Travel	Western River Expeditions/Moab Adventure Center	medal
2008		Advertising Agencies	Richter7	medal
2008		Alternative Health Care	CareSource	medal
2008		Amateur Athlete	Eric Randall Johnson	medal
2008		American	Cafe Zupas	medal
2008		American	Log Haven Restaurant	medal
2008		American	Zoom	medal
2008		Animal Care	University Veterinary Hospital & Diagnostic Center	medal
2008		Animal Training	CommuniCanine	medal
2008		Apparel	Baby Bling	medal
2008		Apparel	Shade Clothing	medal
2008		Appointed Official	Marty Val Hill, UVU	medal
2008		Architects	MHTN Architects	medal
2008		Arts in Education	Gina Bachauer International Piano Foundation	medal
2008		Asian/Pacific	Bangkok Thai on Main	medal
2008		Asian/Pacific	Rumbi Island Grill	medal
2008		Assisted Living Facilities	Silverado Aspen Park	medal
2008		Auto Dealers-New	Ken Garff Automotive Group	medal
2008		Auto Dealers-Used	Salt Lake Imports, Inc	medal
2008		Automotive Services	Certified Auto Care	medal
2008		Baked Goods	Backerei & Eis at Zermatt Resort & Spa	medal
2008		Banking	Zions Bank	medal
2008		Bed & Breakfast	The Blue Boar Inn & Restaurant	medal
2008		Breakfast	The Original Pancake House	medal
2008		Bridal/Wedding Services	The Blue Boar Inn & Restaurant	medal
2008		Brunch	Zermatt Resort & Spa	medal
2008		Candy/Confectionary	V Chocolates	medal
2008		Caterers	Utah Food Services	medal
2008		Charity/Service Organization	Utah National Guard Charitable Trust	medal
2008		Chef	Emanuel Vidolin, Alpine Country Club	medal
2008		Children's Performing Group	The Music School's Crescent Super Band	medal
2008		Choreographer	Jennie Creer-King	medal
2008		Civil Engineering	Stantec Consulting	medal
2008		College/University Student	Cameron Bailey	medal
2008		College/University Teacher	Rebecka Meyers, MD	medal
2008		Commercial Construction	Wadsworth Brothers	medal
2008		Computer Related Services	Software Technology Group	medal
2008		Computer and Software Providers	Millenniata	medal
2008		Consumer Electronics	Skullcandy	medal
2008		Convention and Meeting Facilities	Zermatt Resort & Spa	medal
2008		Convention and Meeting Services	Modern Exposition Services	medal
2008		Credit Unions	Goldenwest Credit Union	medal
2008		Customer Servicing/Call Centers	Close To My Heart	medal
2008		Dairy/Egg Production	Beehive Cheese Co.	medal
2008		Dance Group	Odyssey Dance Theatre	medal
2008		Dance Studio	Elite Dance Force	medal
2008		Data Services	Western Wats	medal
2008		Day Spas	Zermatt Resort & Spa	medal
2008		Destination Spas	Green Valley Spa & Resort	medal
2008		Dietary Supplements	USANA Health Sciences	medal
2008		Documentary	Issac Goeckeritz	medal
2008		Drawing/Illustration	Greg Newbold	medal
2008		Education/Advocacy Organization	Sutherland Institute	medal
2008		Educational/Training Institution/Service	Career Step	medal
2008		Elected Official	Kelvyn H. Cullimore, Jr., Cottonwood Heights	medal
2008		Electrical Engineering	Spectrum Engineers	medal
2008		Employer	Zions Bank	medal
2008		Employment/Talent Agencies	Payroll Experts	medal
2008		Entrepreneur	Jeanette Lynton, Close To My Heart	medal
2008		European	Blue Boar Inn	medal
2008		European/Middle Eastern	Bombay House	medal
2008		Fiction	John M. Simmons, The Marvelous Journey Home	medal
2008		Financial Services	Paragon Wealth Management	medal
2008		Fishing/River Outfitters	Sheri Griffith Expeditions	medal
2008		Floral Design	Scenemakers	medal
2008		Food Manufacturing/Processing	Indulgent Foods/Stephen's Gourmet	medal
2008		Food Services & Distributors	Muir Copper Canyon Farms	medal
2008		Franchise Burgers	Carl's Jr.	medal
2008		Franchise Sandwiches	Subway of Utah	medal
2008		Franchisee	Robert Sherwood, Subway of Utah	medal
2008		Frozen Desserts	Sub Zero Ice Cream	medal
2008		Furniture/Fixtures	Granite Mill	medal
2008		Gifts/Household Goods	Salt City Candle Company	medal
2008		Golf Course	The Homestead	medal
2008		Graphic Design	Struck	medal
2008		Gymnastics Studio	Bailie's Gymnastics	medal
2008		Hair/Beauty Salons	Remedez HairSpa - AVEDA	medal
2008		Handicrafts	Handi Quilter	medal
2008		Health Care Facilities	Caregiver Support Network Home Health & Hospice	medal
2008		Health Care Services	Dr. Carl K. McMillan TMJ Therapy	medal
2008		Health/Nutrition Products	Agel Enterprises	medal
2008		Home Decor	Tai Pan Trading	medal
2008		Hotels	Zermatt Resort & Spa	medal
2008		Humanitarian	Scott Anderson	medal
2008		Independent Senior Living	Highland Cove Retirement Community	medal
2008		Individual Volunteer	Marty Val Hill	medal
2008		Inns	The Blue Boar Inn & Restaurant	medal
2008		Instructional/Corporate Video	Emerald Forest Studios	medal
2008		Instrumental Group	Brown/England Piano Duo	medal
2008		Insurance	Dental Select	medal
2008		Interactive/Mutimedia	Engage ThoughtWare	medal
2008		Interior Design	Steve Peterson Interiors Unlimited	medal
2008		International Business	International Armoring Corporation	medal
2008		Inventor	Orbit Irrigation Products	medal
2008		Jewelry	Salt City Candle Co.	medal
2008		Laboratory Equipment/Supplies	Raumland Systems	medal
2008		Landscape Services & Supplies	Chanshare Sod Farms	medal
2008		Large Business	Zions Bank	medal
2008		Legal Services	Jones Waldo	medal
2008		Lighting Design	Spectrum Engineers	medal
2008		Livestock	Circle Four Farms	medal
2008		Local Burgers	Home of the Train/Dairy Keen	medal
